id;nombre;descripcion;regpub;codigorut;origen;destino;unidad;direcc_ini;direcc_fin
22;ASOC. MOT. CRISTO VIVE;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
23;ASOC. MOT. EL BOSQUE-PALMERAS;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
24;ASOC. MOT. CRISTO REDENTOR;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
25;ASOC. CHOFERES BAJAJ BCA TOURS;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
26;ASOC. MOT. VICTOR RAUL;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
27;ASOC. TRANSP. EL OVALO;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
28;ASOC. MOT. SEOR DE LOS MILAGROS;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
29;EMP. TRANSP. AMANECER ANDINO S.R.L.;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
30;ASOC. MOT. VIRGEN DE FATIMA;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
31;ASOC. MOT. PRIMAVERA;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
34;EMP. TRANSP. EVAFUNSA S.A.;SERVICIO ESPECIAL M1;50001727;;;;;;
36;EMPRESA DE TRANSPORTES CRUZ DE MAYO S.R.L.;SERVICIO ESPECIAL M1;80001360;SEAC 20;SUPE;SUPE;M1;SUCRE CUADRA 4;PLAZA DE ARMAS
37;EMP. TRANSP. Y SERV. MULTIPLES SAN JERONIMO S.A.C.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80007199;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
38;EMPRESA DE TRANSPORTES GRUPO GENESIS S.R.L.;SERVICIO ESPECIAL M1;80001325;JPB;SUPE;SUPE;M1;CA. LA MAR;CALLE PRINCIPAL
39;EMPRESA DE TRANSPORTES PURMACANA EXPRESS S.A.C.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80013936;SRT 10;BARRANCA;SUPE;M2;RICARDO PALMA N¡ 248-A;CC.PP. VIRGEN DEL ROSARIO
40;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES 10 S.R.L.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80025499;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
41;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES ARIES S.A.;SERVICIO DE TAXI;;;;;;;
42;EMP. TRANSP. TURISMO ARAVINSA S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80003995;SRT 05;BARRANCA;BARRANCA;M2;JR. JOSE OLAYA / PSJE. LA VERDE;CC PP ARAYA CHICA (CALLE PRINCIPAL)
43;EMP. TRANSP. PARAMONGA EXPRESS Y SERV. MULT. S.A.;SERVICIO ESPECIAL M1;80012575;JPB;BARRANCA;PARAMONGA;M1;JR. VILELA;CA. TORIBIO LUZURIAGA
44;EMPRESA TRANSPORTISTAS NUEVO SERVICIO RAPIDO S.A.C.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008646;SRT 09;BARRANCA;SUPE;M2;CA. B (ESSALUD);AV. FRANCISCO VIDAL (CAMAL)
45;EMPRESA TRANSPORTISTAS SERVICIO RAPIDO S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008646;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
48;EMP. TRANSP. SERV. RURAL PUMACANA SAC.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008720;SRT 11;BARRANCA;SUPE;M2;JR. SAENZ PEA;CALLE PRINCIPAL
49;EMP. TRANSP. TURISMO CARAL S.A.C.;SERVICIO ESPECIAL M1;80010175;SEAC 17;SUPE;SUPE;M1;CA. ALFONSO UGARTE;CC. LAS MINAS
50;"EMP. TRANSP. ""VIA UNO"" SRL";SERVICIO ESPECIAL M1;;;;;;;
51;"EMP. TRANSP. ""VINTO EXPRESS LA GUADALUPANA"" S.A.";SERVICIO ESPECIAL M1;;SEAC 10;BARRANCA;BARRANCA;M1;PASJ. LA VERDE;C. P. VINTO BAJO
52;EMPRESA DE TRANSPORTES Y SERVICIOS  MULTIPLES HUAYTO EXPRESS S.A.C.;SERVICIO ESPECIAL M1;80123750;SEAC 05;BARRANCA;PATIVILCA;M1;JR. CASTILLA CDRA.5;CC.PP. HUAYTO
53;EMPRESA  DE TRANSPORTES CHIU CHIU Y PRIMERO DE MAYO  S.A.C..;SERVICIO ESPECIAL M1;80016255;SEAC 11;BARRANCA;BARRANCA;M1;JR. JOSE OLAYA;CC.PP. PAMPA EL ANGEL (PLAZA)
54;MUNICIPALIDAD PROVINCIAL DE BARRANCA;SERVICIO DE TRANSPORTE DE TRABAJADORES;;;;;;;
55;EMP. TRANSP. INTERDISTRITAL SAN MIGUEL S.R.L.;SERVICIO ESPECIAL M1;80018535;SEAC 14;BARRANCA;PUERTO SUPE;M1;JR. PEDRO REYES BARBOZA;URB. PEREZ DE CUELLAR / CERCADO
57;EMP. TRANSP. TURISMO SAN GREGORIO SCRL.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80000572;SRT 16;BARRANCA;PARAMONGA;M2;JR. EDGARDO REYES / JR. RICARDO PALMA;CC PP MALVADOS (CALLE PRINCIPAL)
59;EMP. TRANSP. NUEVO BARRANCA S.A.C;SERVICIO ESPECIAL M1;80121211;SEAC 01;BARRANCA;PARAMONGA;M1;JR. LIMA (CDRA. 7);CA. TORIBIO LUZURIAGA
61;EMP. TRANSP. TURISMO HUAYTO S.A;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80088306;SRT 03;BARRANCA;PATIVILCA;M2;JR. RICARDO PALMA / JR. VILELA;CC PP CHURLIN ALTO
64;EMP. TRANSP. TURISMO SAN NICOLAS SAC.;SERVICIO ESPECIAL M1;80006476;SEAC 13;BARRANCA;SUPE;M1;JR. AREQUIPA;AA.HH. SAN NICOLAS
66;EMP. TRANSP. SERV. MULTIPLES NUEVO BARRANCA S.A.C;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80121211;SRT 02;BARRANCA;PATIVILCA;M2;AV. MANCO CAPAC - AV. MIRAMAR;AA HH FUJIMORI
68;EMP. TRANSP. SERV. MULTIPLES BARRANCA TOURS S.R.L;SERVICIO ESPECIAL M1;80023815;SEAC 01;BARRANCA;PARAMONGA;M1;JR. LIMA (CDRA. 7);CA. TORIBIO LUZURIAGA
70;EMP. TRANSP. SERV. MULTIPLES CAPRICORNIO  S.R.LTDA;SERVICIO ESPECIAL M1;80000948;JPB;BARRANCA;PARAMONGA;M1;JR. VILELA;CA. TORIBIO LUZURIAGA
72;EMP. TRANSP. TURISMO VIRAYA S.A;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;8009967;SRT 05;BARRANCA;BARRANCA;M2;JR. JOSE OLAYA / PSJE. LA VERDE;CC PP ARAYA CHICA (CALLE PRINCIPAL)
73;EMPRESA DE TRANSPORTE TAXI COLECTIVO JOSE OLAYA S.A.;SERVICIO ESPECIAL M1;80024415;SEAC 23;BARRANCA;PATIVILCA;M1;JR. JOSE OLAYA;JR. JUAN VELASCO ALVARADO
75;MUSTANG TOURS;SERVICIO ESPECIAL M1;;;;;;;
76;EMPRESA DE TRANSPORTES SAN ILDEFONSO S.R.L.;SERVICIO DE TAXI;;;;;;;
77;;SERVICIO ESPECIAL M1;;;;;;;
78;EMPRESA DE TRANSPORTE CARAQUEO S.A;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80004395;SRT 04;BARRANCA;PATIVILCA;M2;JR. LIMA / PSJ. EDGARDO REYES;CALLE PRINCIPAL
79;EMP. TRANSP. 20 DE JULIO-PATIVILCA S.A;SERVICIO ESPECIAL M1;80014338;SEAC 08;BARRANCA;PATIVILCA;M1;JR. BERENICE DAVILA CDRA. 02;CA. CALLAO
80;EMP. TRANSP. UNIDOS RAFAEL CHANGA ALDAVE S.A;SERVICIO ESPECIAL M1;80020906;SEAC 19;SUPE;SUPE;M1;SUCRE CUADRA 4;CALLE PRINCIPAL
81;ECLIPSE TOURS;SERVICIO ESPECIAL M1;;;;;;;
82;EMPRESA DE TRANSPORTES PUERTO SUPE TOURS;SERVICIO DE TAXI;;;;;;;
83;EMP. TRANSP. TOURS SAN PEDRITO EXPRESS S.A.C.;SERVICIO ESPECIAL M1;80010675;JPB;BARRANCA;PUERTO SUPE;M1;CA. B (ESSALUD);PROLONGACION TARAPACA
84;EMPRESA DE TRANSPORTE PUBLICO LEON DE JUDA S.A.C.;SERVICIO ESPECIAL M1;11004937;SEAC 21;BARRANCA;PARAMONGA;M1;JR. CASTILLA CDRA. 05;PANAMERICANA NORTE LIMITE PROVINCIAL
85;EMPRESA DE TRANSPORTES DE CARGA Y PASAJEROS TURISMO CHASQUI S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80021915;SRT 15;BARRANCA;PARAMONGA;M2;JR. RAMON CASTILLA / JR. VILELA;CC PP MALVADOS (CALLE PRINCIPAL)
86;EMP. TRANSP. CARLESI S.R.LTDA.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;11028400;;;;;;
87;EMP. TRANSP. SERV. MULTIPLES FORTALEZA TOURS SAC.;SERVICIO ESPECIAL M1;80026493;JPB;BARRANCA;PARAMONGA;M1;JR. LIMA (CDRA. 7);CA. TORIBIO LUZURIAGA
88;EMP. RC SERVICIOS GENERALES S.A.C.;SERVICIO ESPECIAL M1;80027295;JPB;BARRANCA;SUPE;M1;JR. AREQUIPA;AA HH SAN NICOLAS
89;EMP. TRANSP. SERV. GENERALES BARRANCA E.I.R.L.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40007914;;;;;;
92;EMP. TRANSP. SERV. MULTIPLES  ATIM 4 S.A;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80023945;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
93;EMP. TRANSP. MAGDALENA 2M S.A.;SERVICIO ESPECIAL M1;40008707;JPB;BARRANCA;SUPE;M1;JR. PEDRO REYES DE BARBOZA;AA HH SAN NICOLAS CANTAGALLO
94;EMPRESA DE TRANSPORTES INTERDISTRITAL SAN MIGUEL S.R.L.;SERVICIO ESPECIAL M1;80018535;SEAC 12;BARRANCA;SUPE;M1;;
96;EMP. TRANSP. VALLE SAGRADO CARAL S.A.C;SERVICIO ESPECIAL M1;80085921;SEAC 16;BARRANCA;SUPE;M1;JR. BERENICE DAVILA;PLAZA DE ARMAS
97;EMP. TRANSP. TURISMO SANTIAGO SRL.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;11035271;SRT 16;BARRANCA;PARAMONGA;M2;JR. EDGARDO REYES / JR. RICARDO PALMA;CC PP MALVADOS (CALLE PRINCIPAL)
99;EMPRESA DE TRANSPORTES MULTIPLES EL POTAO S.A.C;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80002955;SRT 06;BARRANCA;BARRANCA;M2;CA. HAYA DE LA TORRE / JR. LIMA;CC PP POTAO (PLAZA)
100;EMP. TRANSP. SERV. MULTIPLES 4 S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008633;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
101;EMP. TRANSP. N¡ 10 PARAMONGA HUARICANGA S.R.L;SERVICIO ESPECIAL M1;50001451;JPB;PARAMONGA;PARAMONGA;M1;CA. FRANCISCO BOLOGNESI;CC PP HUARICANGA (CALLE PRINCIPAL)
102;EMPRESA DE TRANSPORTES ANTA Y ANEXO S.A.C.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80001185;SRT 17;BARRANCA;PARAMONGA;M2;JR. CASTILLA N¡ 500;CC PP MALVADOS (CALLE PRINCIPAL)
103;EMPRESA DE TRANSPORTE DE SERVICIOS MULTIPLES VIRGEN DEL ROSARIO S.A.;SERVICIO ESPECIAL M1;2000920;SEAC 26;BARRANCA;PARAMONGA;M1;JR. LEONCIO PRADO;PTA. BERMEJO
104;EMP. TRANSP. SERV. MULTIPLES MARIA MAGDALENA N¡ 02 S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008707;;;;;;
106;EMP. TRANSP. SANTISIMA CRUZ DE UPACA S.A;SERVICIO ESPECIAL M1;;JPB;PARAMONGA;PATIVILCA;M1;CA. BOLOGNESI;PLAZA DE ARMAS
107;EMP. TRANSP. VIRGEN DE GUADALUPE S.R.L;SERVICIO ESPECIAL M1;2000998;;;;;;
108;EMP. TRANSPORTES N¡ 1 S.A;SERVICIO ESPECIAL M1;80000348;;;;;;
110;EMPRESA DE TRANSPORTES INTERDISTRITAL SAN MIGUEL S.R.L.;SERVICIO ESPECIAL M1;80018535;;;;;;
112;EMPRESA DE CHOFERES NOCTURNOS DE SERVICIO DE TRANSPORTES S.A.C.;SERVICIO ESPECIAL M1;10000770;SEAC 22;BARRANCA;PARAMONGA;M1;CA. LIMA / CA. ALFONSO UGARTE;AV. FRANCISCO VIDAL / CA. TORIBIO LUZURIAGA
114;EMP. TRANSP. TURISMO HUAYTO S.A;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80088306;;;;;;
115;EMP. TRANSP. SERV. MULTIPLE MARIA MAGDALENA N¡ 2M S.A;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008707;SRT 08;BARRANCA;SUPE;M2;CA. B (ESSALUD);CC PP CANTAGALLO
116;EMP. TRANSP. SERV. MULTIPLES MARIA MAGDALENA N¡ 02 S.A.;SERVICIO ESPECIAL M1;40008707;SEAC 12;BARRANCA;SUPE;M1;;
117;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES HUAYTO EXPRESS S.A.C.;SERVICIO ESPECIAL M1;80123750;;;;;;
118;EMPRESA DE TRANSPORTE INTER URBANO ANTA Y ANEXOS S.A.C.;SERVICIO ESPECIAL M1;80001185;SEAC 03;BARRANCA;PARAMONGA;M1;JR. CASTILLA - 500;C.P. CHIQUIHUANCA - VIA PRINCIPAL
119;ASOC. MOTOS BAJAJ;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
121;EMPRESA DE TRANSPORTES LOS PATIVILCANOS  S.A.;SERVICIO ESPECIAL M1;80118804;SEAC 09;BARRANCA;PATIVILCA;M1;JR. BERENICE DAVILA;AA HH FUJIMORI
128;EMP. TRANSP. SERV. GENERALES LOS MASTERS DEL VOLANTE S.R.L.;SERVICIO ESPECIAL M1;11007814;;;;;;
129;EMPRESA DE TRANSPORTES Y SERVICIOS  MULTIPLES L, J & K  SAGRADO CORAZON DE JESUS S.A.;SERVICIO DE TAXI;;;;;;;
131;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES E&G VIRGEN DEL PILAR S.A.;SERVICIO DE TAXI;;;;;;;
132;EMP. TRANSP. SERV. PUERTO SUPE S.A.C.;SERVICIO DE TAXI;;;;;;;
133;EMP. TRANSP. SERV. MULT. MAZAAKI E.I.R.L;SERVICIO DE TAXI;;;;;;;
134;EMP. TRANSP. LA ISLA S.R.L.;SERVICIO DE TAXI;;;;;;;
135;ASOC. TRANSPORTISTAS CRISTO REY S.R.L.;SERVICIO DE TAXI;;;;;;;
136;ASOC. TAXISTAS BARRANCA;SERVICIO DE TAXI;;;;;;;
137;TURISMO GAMARRA SRL.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;;SRT 16;BARRANCA;PARAMONGA;M2;JR. EDGARDO REYES / JR. RICARDO PALMA;CC PP MALVADOS (CALLE PRINCIPAL)
138;EMPRESA DE TRANSPORTES EL RAPIDO S.A.;SERVICIO DE TAXI;;;;;;;
139;ASOC. DE TAXISTAS DE BARRANCA;SERVICIO DE TAXI;;;;;;;
140;SERVICIOS GENERALES BARRANCA E.I.R.L;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;;;;;;;
141;SERVICIOS GENERALES BARRANCA E.I.R.L;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;;;;;;;
142;EMPRESA DE TRANSPORTES BELEN & DAYANA E.I.R.L;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
143;EMPRESA DE TRANSPORTES HIROSHIMA E.I.R.L.;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
144;EMPRESA DE TRANSPORTES SHEMA TOURS;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
145;EMPRESA DE TRANSPORTE EXPRESS GUS & JAZ;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
146;EMPRESA DE TRANSPORTE BARRANCA TOURS S.R.L.;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
147;EMPRESA DE TRANSPORTE DE SERVICIOS MULTIPLES VIRGEN DEL ROSARIO S.A.;SERVICIO ESPECIAL M2;;;;;;;
148;E.T. TURISMO NOR BARRANCA S.A.;SERVICIO ESPECIAL M2;;;;;;;
149;E.T. EXPRESS GUS &JAZ E.I.R.L.;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
150;E.T. EXPRESS GUS & JAZ E.I.R.L.;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
151;ASOC. DE TRANSPORTE CIUDAD Y CAMPO;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;80167747;;;;;;
152;ASOC. MOTOTAXIS M&R;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
153;ASOCIACION DE MOTOTAXISTAS  PAMPA EL ANGEL;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;;;;;;;
154;CONSORCIO DE TRANSPORTES Y SERVICIOS MULTIPLES BARRANCA S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80125513;;;;;;
155;EMPRESA DE TRANSPORTE Y SERVICIO MULTIPLE BARRANCA TOURS S.R.L.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;;;;;;;
156;TURISMO SUPE S.A.C.;SERVICIO ESPECIAL M1;80165050;SEAC 13;BARRANCA;SUPE;M1;JR. AREQUIPA;AA.HH. SAN NICOLAS
157;EMPRESA DE TRANSPORTES RAPIDO EXPRESS DE PORVENIR S.A.C.;SERVICIO ESPECIAL M1;80168882;PLAN PILOTO;BARRANCA;SUPE;;JR. VILELA;EL PORVENIR
158;"EMPRESA DE TRANSPORTES DE SERVICIOS MULTIPLES ""TURISMO PURMACANA"" S.A.";SERVICIO ESPECIAL M1;80171900;P. PILOTO;BARRANCA;SUPE;M1;JR. SAENZ PEA;CC.PP. VIRGEN DEL ROSARIO
159;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES CAPRICORNIO NORTE CHICO S.R.L.;SERVICIO ESPECIAL M1;80182113;SEAC 02;BARRANCA;PARAMONGA;M1;JR. VILELA;CA. TORIBIO LUZURIAGA
160;"EMPRESA ""EL HORIZONTE BCA"" S.R.L.";SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;80182297;;;;;;
161;EMPRESA DE TRANSPORTES DE SERVICIOS MULTIPLES 4 S.A.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;40008633;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
162;"EMPRESA ""TRANSPORTE & SERVICIOS LOS ARENALES"" S.A.C.";SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;80183756;;;;;;
163;EMPRESA TRANSPORTISTAS NUEVO SERVICIO RAPIDO SAC;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80170161;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
164;EMP. TRANSP. TURISMO LAS MINAS S.R.L.;SERVICIO ESPECIAL M1;80012695;SEAC 16;BARRANCA;SUPE;M1;JR. BERENICE DAVILA;PLAZA DE ARMAS
165;SERVICIOS GENERALES BARRANCA EDIKAO S.A.C.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;;SRT 18;BARRANCA;PATIVILCA;M2;JR. SAENZ PEA;CC PP LA VEGAS
166;EMPRESA DE TRANSPORTE CORPORACION MARIANO S.A.C.;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;80184261;PLAN PILOTO;BARRANCA;BARRANCA;M2-C3;CA. BUENA VISTA;AV. LUZURIAGA
167;EMPRESA DE TRANSPORTE CRISTO MORADO - BARRANCA S.A.;SERVICIO ESPECIAL M1;;;;;;;
168;ASOC. DE MOTOTAXISTAS METRO-BCA;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;80194099;;;;;;
169;ASOC. MOTOTAXIS METRO BARRANCA;SERVICIO DE TRANSPORTE EN VEHêCULOS MENORES - MOTO TAXI;80194099;;;;;;
